318,313
129,2
237,139
848,682
470,471
41,613
8,535
997,410
553,291
565,862
70,589
438,105
634,557
760,56
295,533
592,284
37,782
790,690
537,179
455,431
95,542
278,621
747,220
262,395
799,712
244,691
718,920
13,783
435,541
587,3
324,760
696,71
494,511
47,26
652,341
703,342
371,762
342,231
104,188
930,750
186,496
693,830
202,594
987,667
712,313
825,74
489,756
524,86
486,228
805,657
596,655
341,266
24,167
121,354
727,828
278,111
296,5
332,268
588,869
380,670
36,442
10,613
412,526
41,413
625,607
213,667
257,794
482,449
758,341
800,821
547,739
173,762
549,8
41,435
426,27
852,569
291,623
998,455
107,275
748,693
321,31
486,847
221,224
144,345
366,529
364,130
899,46
818,507
720,24
623,496
706,797
487,87
724,189
439,530
273,565
101,532
692,584
348,35
678,260
330,114
394,561
378,298
772,940
521,718
202,462
452,961
785,348
685,250
74,820
687,98
701,755
101,924
99,902
286,430
74,574
736,300
478,698
157,847
262,209
160,204
998,162
647,748
57,696
45,827
843,30
116,112
663,511
380,701
356,515
101,675
450,387
363,504
726,884
132,188
757,789
681,23
146,57
470,494
414,878
126,499
383,428
335,991
421,71
704,552
689,35
25,722
254,14
342,613
553,448
88,948
510,180
498,805
651,266
805,626
662,290
312,927
68,317
427,148
943,642
710,868
268,26
112,825
794,658
345,210
933,115
762,346
308,174
76,663
34,669
565,891
705,974
882,80
202,294
285,917
583,929
18,378
546,5
824,947
961,717
510,921
357,126
121,764
933,710
378,212
839,256
364,983
776,9
762,19
510,59
516,670
708,47
36,80
869,327
128,853
88,180
948,408
470,764
254,20
974,558
699,759
76,79
611,253
571,635
809,321
423,629
949,285
991,448
77,542
25,667
960,60
658,610
249,289
923,111
869,927
242,673
235,993
417,663
441,70
318,436
58,48
169,732
842,402
421,489
917,208
635,949
509,461
145,348
716,603
782,240
16,569
247,369
485,934
279,281
125,145
987,285
535,827
597,990
962,182
213,26
105,637
719,291
457,826
485,401
867,845
619,245
459,54
614,84
349,356
28,478
672,271
815,521
544,193
101,715
280,504
835,33
98,791
597,520
408,340
573,566
928,588
55,252
615,938
642,62
183,294
60,475
923,505
846,756
294,808
200,701
851,765
885,577
433,574
651,695
491,406
573,579
666,135
975,179
274,633
582,84
850,120
588,169
777,331
895,329
968,404
21,77
635,233
165,615
268,520
320,97
800,171
145,810
93,307
127,316
48,933
544,225
96,276
453,241
747,637
741,909
248,44
796,567
725,525
0,348
11,83
909,367
242,166
758,702
499,439
913,894
188,427
902,479
496,19
459,899
437,128
663,358
991,189
987,150
608,424
371,545
775,575
624,125
359,619
165,145
593,93
380,214
309,706
584,865
812,130
486,725
675,575
436,953
452,178
587,913
546,592
908,858
592,121
541,726
962,656
279,655
365,841
47,192
535,143
582,830
947,803
225,62
494,413
104,567
616,296
193,595
326,665
340,761
524,600
860,418
55,116
688,938
882,271
65,907
490,702
661,478
595,755
310,235
817,806
183,800
678,267
964,344
869,612
402,786
993,333
461,838
826,554
808,890
896,295
938,713
248,161
478,551
94,27
201,67
43,103
571,605
125,380
286,287
725,595
883,936
984,726
215,543
630,342
417,417
737,105
240,233
696,488
205,335
662,675
508,589
834,388
855,973
179,918
920,997
323,701
395,707
333,502
837,177
341,485
462,982
854,569
5,201
78,887
332,841
179,481
843,630
805,212
74,755
196,110
877,192
619,148
512,79
700,994
745,621
665,499
711,716
262,910
294,801
45,60
261,59
494,262
985,177
784,693
763,918
843,960
497,156
89,940
852,799
177,71
298,294
828,676
386,111
562,28
671,218
575,294
978,723
793,624
649,907
928,389
899,930
817,104
616,195
964,183
970,844
822,298
3,493
2,62
374,573
645,156
888,577
850,50
26,929
509,729
410,945
45,196
613,130
763,608
250,455
454,508
683,755
332,870
410,700
531,723
669,796
882,418
480,851
470,709
920,236
129,320
198,191
201,897
373,432
644,368
23,795
784,643
466,262
834,205
704,914
276,270
294,898
366,179
416,370
12,373
